足球是人民体育出版社出版的图书作者是何永超著1	足球是人民体育出版社出版的图书作者是何永超著1
面包也写作麺包一种用五谷一般是麦类磨粉制作并加热而制成的食品以小麦粉为主要原料以酵母鸡蛋油脂糖盐等为辅料加水调制成面团经过分割成形醒发焙烤冷却等过程加工而成的焙烤食品	黄油Butter是用牛奶加工出来的一种固态油脂是把新鲜牛奶加以搅拌之后上层的浓稠状物体滤去部分水分之后的产物主要用作调味品营养丰富但含脂量很高所以不要过分食用公元前5世纪匈奴人就已经因为以牧业为主奶制品各种制作技术成熟并传播国内外外国人称为黄油就是中国人称为奶油的奶中炼制食用油品匈奴人是世界上最早加工食用黄油的民族
国家是政治地理学名词从广义的角度国家是指拥有共同的语言文化种族领土政府或者历史的社会群体从狭义的角度国家是一定范围内的人群所形成的共同体形式学术界对于国家的组成要素有两种说法常见的观点有三要素说和四要素说有的学者认为国家由个3要素组成例如美国法学家汉斯凯尔森在1946年出版的法与国家的一般理论中评论说传统学说划分国家的三个要素国家的领土人民和权力6在此之后他在1952年出版的国际法原理中说传统学说把国家的个3要素概括为领土人民和由一个独立的和有实效的政府行使的权力7而美国法学家杰克逊认为国际法中普遍接受的国家的定义的必要要素是居民领土和有效的政府10有的学者认为国家由4个要素组成例如美国法学家克雷文认为国家资格的必要要素是定居的居民确定的领土有效的政府和独立11中国国际法学家王铁崖先生认为国际法中的国家应具备定居的人民确定的领土政府主权四个要素89在社会科学和人文地理范畴国家是指被人民文化语言地理区别出来的领土被政治自治权区别出来的一块领地一个领地或者邦国的人民跟特定的人有关联的地区一般国家行政管理当局是国家的象征它是一种拥有治理一个社会的权力的国家机构在一定的领土内拥有外部和内部的主权	公民为我国宪法所确定的基本权利的一般性的主体根据我国现行宪法第33条第1款的规定凡是具有中华人民共和国国籍的人都是中华人民共和国公民也就是说具有国籍是确定我国公民资格的唯一要件
伏特加酒vodka俄罗斯的传统酒精饮料伏特加酒以谷物或马铃薯为原料经过蒸馏制成高达95度的酒精再用蒸馏水淡化至40度到60度并经过活性炭过滤使酒质更加晶莹澄澈无色且清淡爽口使人感到不甜不苦不涩只有烈焰般的刺激形成伏特加酒独具一格的特色伏特加酒在各种调制鸡尾酒的基酒之中是一种最具有灵活性适应性和变通性的酒12018年1月3日全世界最昂贵的一瓶鲁索巴尔特RussoBaltique伏特加酒价值130万美元在丹麦酒吧被盗2	金酒又名叫杜松子酒Geneva或琴酒最先由荷兰生产在英国大量生产后闻名于世是世界第一大类的烈酒金酒按口味风格又可分为辣味金酒老汤姆金酒和果味金酒1
股票stock是股份公司所有权的一部分也是发行的所有权凭证是股份公司为筹集资金而发行给各个股东作为持股凭证并借以取得股息和红利的一种有价证券股票是资本市场的长期信用工具可以转让买卖股东凭借它可以分享公司的利润但也要承担公司运作错误所带来的风险每股股票都代表股东对企业拥有一个基本单位的所有权每家上市公司都会发行股票同一类别的每一份股票所代表的公司所有权是相等的每个股东所拥有的公司所有权份额的大小取决于其持有的股票数量占公司总股本的比重股票是股份公司资本的构成部分可以转让买卖是资本市场的主要长期信用工具但不能要求公司返还其出资1	市场market是各方参与交换的多种系统机构程序法律强化和基础设施之一尽管各方可以通过易货交换货物和服务但大多数市场依赖卖方提供货物或服务包括劳力来换取买方的钱可以说市场是商品和服务价格建立的过程市场促进贸易并促成社会中的资源分配市场允许任何可交易项目进行评估和定价市场或多或少自发地出现或者可以通过人际互动刻意地构建以便交换服务和商品的权利比如所有权市场通常取代礼品经济通常通过规则和习俗如摊位费竞争性定价出售货物来源当地农产品或股票登记和军事或警察威胁如果这些规则被破坏市场可能因所销售的产品货物服务或因素劳动力和资本产品差异化交换所在地购买者针对性持续时间销售流程政府监管税收补贴最低工资价格上限交易合法性流动性投机强度规模集中度交易不对称性相对价格波动性和地域延伸市场的地理边界可能差异很大例如单一建筑中的食品市场当地城市的房地产市场整个国家的消费市场或同一规则适用的国际贸易集团的经济始终市场也可以是全球性的例如全球钻石贸易国家经济也可以分为发达市场或发展中市场市场泛指商品交换的领域如国际市场国内市场农村市场等
网络是由若干节点和连接这些节点的链路构成表示诸多对象及其相互联系在1999年之前人们一般认为网络的结构都是随机的但随着Barabasi和Watts在1999年分别发现了网络的无标度和小世界特性并分别在世界著名的科学和自然杂志上发表了他们的发现之后人们才认识到网络的复杂性1网络会借助文字阅读图片查看影音播放下载传输游戏聊天等软件工具从文字图片声音视频等方面给人们带来极其丰富的生活和美好的享受	硬件英文名Hardware是计算机硬件的简称中国大陆及香港用语台湾叫作硬体是指计算机系统中由电子机械和光电元件等组成的各种物理装置的总称这些物理装置按系统结构的要求构成一个有机整体为计算机软件运行提供物质基础简而言之硬件的功能是输入并存储程序和数据以及执行程序把数据加工成可以利用的形式从外观上来看微机由主机箱和外部设备组成主机箱内主要包括CPU内存主板硬盘驱动器光盘驱动器各种扩展卡连接线电源等外部设备包括鼠标键盘等
管理者是指在组织中直接参与和帮助他人工作的人管理者通过其地位和知识对组织负有贡献的责任因而能够实质性的影响该组织经营及达成成果的能力者现代观点强调管理者必须对组织负责而不仅仅是监督指导与管理者相对应的是非管理者	办公室读音bngngsh英文名Office处理一种特定事务的地方或提供服务的地方是提供工作办公的场所不同类型的企业办公场所有所不同由办公设备办公人员及其它辅助设备组成在办公室适合放些对人和工作氛围有帮助的东西如花画等办公室还可以指一种机构如区委办公室区政府办公室党校办公室等它是一个单位对外的窗口对内协助领导工作的机关
心理学是2019年中国人民大学出版社出版的图书1	认知是2019年中国人口出版社出版的图书1
钱汉语常用字一级字1最早见于战国文字2本义为农田农具名指类似铁锹一类的农具读为jin在现代汉语中钱专指货币当钱用为指称货币费用量词姓氏时均读为qin基本信息栏参考资料3	经营含有筹划谋划计划规划组织治理管理等含义经营和管理相比经营侧重指动态性谋划发展的内涵而管理侧重指使其正常合理地运转经营和管理合称经营管理在日本和韩国管理学一般称为经营学也统称经营管理学或企业经营管理学1现代汉语词典中的解释一筹划并管理企业等经营商业经营畜牧业苦心经营二泛指计划和组织这个展览会是煞费经营的1运营营利性事业从事营利性的工作2苦心筹划3为一定目的而设法使机构或组织运转企业的经营企业的经营是根据企业的资源状况和所处的市场竞争环境对企业长期发展进行战略性规划和部署制定企业的远景目标和方针的战略层次活动它解决的是企业的发展方向发展战略问题具有全局性和长远性是企业或经营者有目的的经济活动是经营者在国家的方针政策指导下根据国家计划任务市场需求状况及企业自身的需要从本身所处的内外环境条件出发对企业的经济活动进行的筹划设计与安排等活动
自然从最广泛的意义上说是自然的物理的物质的世界或宇宙自然可以指物理世界的现象也可以指一般的生命对自然的研究即使不是科学也是很大的一部分尽管人类是自然的一部分但人类活动通常被理解为与其他自然现象不同的类别这个词的各种用法中自然通常指的是地质学和野生动物自然可以指有生命的植物和动物的一般领域在某些情况下可以指与无生命物体相关的过程特定类型的事物存在的方式和它们自己的变化例如地球的天气和地质它通常被用来表示自然环境或荒野野生动物岩石森林以及一般来说那些没有被人类干预实质性改变的东西或者尽管人类干预仍然存在的东西例如人造物体和人类互动通常不被视为自然的一部分除非被限定为例如人性或整个自然这个可以找到的关于自然事物的更传统的概念意味着自然和人工之间的区别人工存在被理解为由人类意识或人类思想产生的东西根据特定的上下文术语自然也可能与非自然或超自然区分开来3	人rn英语为Mankind可以从生物精神与文化等各个层面来定义或是这些层面定义的结合生物学上人被分类为人科人属人种2号染色体和猩猩甲条染色体着丝粒融合平衡易位缔合模式接近度超过16N并臂间多次倒位其余染色体都有很强的同源性是一种高级动物精神层面上人被描述为能够使用各种灵魂的概念在宗教中这些灵魂被认为与神圣的力量或存在有关文化人类学上人被定义为能够使用语言具有复杂的社会组织与科技发展的生物尤其是能够建立团体与机构来达到互相支持与协助目的中国古代对人的定义是有历史典籍能把历史典籍当作镜子以自省的动物
拳击是吉林出版集团有限责任公司出版的图书作者是岳言等主编1	回合是由作曲王铮作词金玟岐演唱的游戏梦幻西游成长版主题曲1
心理学是1993年科学出版社出版的图书	科学是2008年科学普及出版社出版的图书1
公告是指政府团体对重大事件当众正式公布或者公开宣告宣布国务院2012年4月16日发布2012年7月1日起施行的党政机关公文处理工作条例对公告的使用表述为适用于向国内外宣布重要事项或者法定事项其中包含两方面的内容一是向国内外宣布重要事项公布依据政策法令采取的重大行动等二是向国内外宣布法定事项公布依据法律规定告知国内外的有关重要规定和重大行动等	新闻1也叫消息资讯是通过报纸电台广播电视台等媒体途径所传播信息的2一种称谓是记录社会传播信息反映时代的一种文体新闻概念有广义与狭义之分就其广义而言除了发表于报刊广播互联网电视上的评论与专文外的常用文本都属于新闻之列包括消息通讯特写速写有的将速写纳入特写之列等等3狭义的新闻则专指消息消息是用概括的叙述方式比较简明扼要的文字迅速及时地报道国内外新近发生的有价值的事实让别人了解每则新闻一般包括标题电头导语主体背景和结语六部分前四者是主要部分后二者是辅助部分标题导语主体必不可少写法上主要是叙述有时兼有议论描写评论等新闻是包含海量资讯的新闻服务平台真实反映每时每刻的重要事件可以通过查看新闻事件热点话题人物动态产品资讯等快速了解它们的最新进展4
比赛是电视剧功夫足球的主题曲由张卫健演唱发行于2004年	回合是由作曲王铮作词金玟岐演唱的游戏梦幻西游成长版主题曲1
红利是指上市公司在进行利润分配时分配给股东的利润一般是每10股派发XX元股东在获得时还要扣掉上交税额普通股股东所得到的超过股息部分的利润称为红利普通股股东所得红利没有固定数额企业分派给股东多少红利则取决于企业年度经营状况的好坏和企业今后经营发展战略决策的总体安排在美国大多数公司发放现金红利数额约占公司税后净利的4060公司红利发放时间大都是按季度进行每一季度分发一次一定数量或一定比例的红利如果还有多余公司还可在某一时候追加发放	报酬形容得到他人帮助之后进行报答有时又指薪水工作后所得到的物品或钱财
白天男汉族1957年5月出生山西平定人1974年2月参加工作1986年6月加入中国共产党大学学历现任吕梁市发改委总经济师	黎明男汉族湖北郧县人1972年5月出生硕士研究生学历1997年7月参加工作1997年1月加入中国共产党现任猇亭区人民政府副区长党组成员东风汽车公司经营管理部经营协同处业务主任
物理学physics是研究物质最一般的运动规律和物质基本结构的学科作为自然科学的带头学科物理学研究大至宇宙小至基本粒子等一切物质最基本的运动形式和规律因此成为其他各自然科学学科的研究基础物理学起始于伽利略和牛顿的年代它已经成为一门有众多分支的基础科学物理学是一门实验科学也是一门崇尚理性重视逻辑推理的科学物理学充分用数学作为自己的工作语言它是当今最精密的一门自然科学学科1	质子proton是一种带161019库仑C正电荷的亚原子粒子直径约16171015m质量是938百万电子伏特cMeVc即1672621637831027千克大约是电子质量的18365倍电子的质量为910938215451031千克质子比中子稍轻中子的质量为1674927211841027千克质子属于重子类由两个上夸克和一个下夸克通过胶子在强相互作用下构成原子核中质子数目决定其元素的种类和它属于何种化学元素1
道德是社会意识形态之一是人们共同生活及其行为的准则和规范1道德通过社会的或一定阶级的舆论对社会生活起约束作用22019年10月中共中央国务院印发了新时代公民道德建设实施纲要并发出通知要求各地区各部门结合实际认真贯彻落实3	婚姻泛指婚龄男女以夫妻名义在经济生活精神物质等方面的自愿长期结合根据双方身体条件工作能力结婚观念历史文化而产生的夫妻关系应取得医学伦理民法等层面的认可以夫妻名义共同生产生活并组成家庭的一种社会现象男女自愿结合在一起互相接受互相依靠婚姻应与社会人口变化历史文化相适应中国是一个历史悠久多民族国家婚姻制度也经过多次变革现在普遍认同一女一男一妻一夫形式古时又称昏姻或昏因一般而言婚姻一词的起源有三种说法汉朝的郑玄说婚姻指的是嫁娶之礼在我国古代的婚礼中男方通常在黄昏时到女家迎亲而女方随着男方出门这种男以昏时迎女女因男而来的习俗就是昏因一词的起源换句话说婚姻一般是指男娶女嫁过程1
钱是罗伯特布列松执导的犯罪片克里斯蒂安佩蒂和VincentRisterucci出演该片讲述了小伙子伊万把自己的命运引向不可知的远方的故事	银行是由查理卓别林导演艾德娜珀薇安丝主演的一部影片
铝Aluminium是一种金属元素元素符号为Al原子序数为13其单质是一种银白色轻金属有延展性商品常制成棒状片状箔状粉状带状和丝状在潮湿空气中能形成一层防止金属腐蚀的氧化膜铝粉在空气中加热能猛烈燃烧并发出眩目的白色火焰易溶于稀硫酸硝酸盐酸氢氧化钠和氢氧化钾溶液难溶于水相对密度270熔点660沸点2327铝元素在地壳中的含量仅次于氧和硅居第三位是地壳中含量最丰富的金属元素航空建筑汽车三大重要工业的发展要求材料特性具有铝及其合金的独特性质这就大大有利于这种新金属铝的生产和应用应用极为广泛2017年10月27日世界卫生组织国际癌症研究机构公布的致癌物清单初步整理参考铝生产过程在一类致癌物清单中	金属一般指具备特有光泽即对可见光强烈反射而不透明具有延展性及导热导电性的一类物质狭义的金属概念为由金属元素组成的单质4纯金属在常温下一般都是固体汞除外大多数为电和热的优良导体密度较大熔点较高1地球上的金属资源广泛地存在于地壳和海洋中除少数很不活泼的金属如金银等有单质形式存在外其余都以化合物的形式存在1金属在自然界中广泛存在在生活中应用极为普遍在现代工业中是非常重要和应用最多的一类物质
投资者是指投入现金购买某种资产以期望获取利益或利润的自然人和法人广义的投资者包括公司股东债权人和利益相关者狭义的投资者指的就是股东	收入会计学术语会计要素之一是指企业在日常活动中形成的会导致所有者权益增加的与所有者投入资本无关的经济利益的总流入收入按企业从事日常活动的性质不同分为销售商品收入提供劳务收入和让渡资产使用权收入收入按企业经营业务的主次不同分为主营业务收入和其他业务收入主营业务收入是指企业为完成其经营目标所从事的经常性活动所实现的收入其他业务收入是指企业为完成其经营目标所从事的与经常性活动相关的活动实现的收入企业会计准则第14号一一收入已于2017年7月由财政部修订发布自2018年1月1日起在境内外同时上市的企业以及在境外上市并采用国际财务报告准则或企业会计准则编制财务报表的企业施行自2020年1月1日起在其他境内上市企业施行自2021年1月1日起在执行企业会计准则的非上市企业施行1
展览exhibition读音zhnln著作权法术语指公开陈列美术作品摄影作品的原件或者复制件展览会既是信息通讯和娱乐的综合也是唯一的在面对面沟通中充分挖掘五官感觉的营销媒介20世纪尽管出现高速的电子通讯方式展览会作为临时的市场仍然是最专业有效的销售工具	纪念品是指可以承载纪念意义的物品纪念品通常是以实物而存在的能长时间保存在人际间的交往中可以起到增进感情加深印象的作用
空间是与时间相对的一种物质客观存在形式但两者密不可分按照宇宙大爆炸理论宇宙从奇点爆炸之后宇宙的状态由初始的一分裂开来从而有了不同的存在形式运动状态等差异物与物的位置差异度量称之为空间位置的变化则由时间度量空间由长度宽度高度大小表现出来通常指四方方向上下空间有宇宙空间网络空间思想空间数字空间物理空间等等都属空间的范畴地理学与天文学中指地球表面的一部分有绝对空间与相对空间之分空间由不同的线组成线组成不同形状线内便是空间空间是一个相对概念构成了事物的抽象概念事物的抽象概念是参照于空间存在的1	世界world广义上来讲就是指全部所有一切一般来讲世界指的是人类赖以生存的地球世界还代称的有天地天下此岸世间万物世上等世界也可解释由可感知的不可感知的客观存在的总和以及用于描述客观存在及其相互关系的概念总和客观存在是不以人或其他物意志转移而存在的世界由概念世界和物质世界组成概念世界包含所有生命对客观世界的认知以及为记录认知而存在的事物的总和
夏季是一年四季中第二个季节从立夏起至立秋结束气温高是夏季最显著的气候特征但因地域干湿环境的不同会产生炎热干燥或者湿热多雨的不同气候中国幅员辽阔各地区夏季的气候并非一样总体来说中国东南部季风区夏季高温多雨西南高海拔地区夏季凉爽降水少西北地区夏季炎热干燥春生夏长秋收冬藏夏季是许多农作物旺盛生长的最好季节充足的光照和适宜的温度以及充沛的雨水给植物提供了所需的条件季风气候是中国气候的主要特点夏季受来自海洋的暖湿气流的影响表现为高温潮湿多雨雨热同期有利于农作物成长在夏季农作物进入了茁壮成长阶段	干旱是指长期无雨或少雨使土壤水分不足作物水分平衡遭到破坏而减产的气象灾害12干旱亦指淡水总量少不足以满足人的生存和经济发展的气候现象一般是长期的现象干旱都是人类面临的主要自然灾害即使在科技发达它造成的灾难性后果仍然比比皆是值得注意的是随着人类的经济发展和人口膨胀水资源短缺现象日趋严重这也直接导致了干旱地区的扩大与干旱化程度的加重干旱化趋势已成为全球关注的问题2021年中国全年因干旱灾害造成直接经济损失201亿元11
钱姓中华姓氏之一在宋版百家姓中排名为第2位1钱姓可以追溯至黄帝七世孙彭祖这位史传寿高880岁的寿星真名叫篯铿后被尧赏识受封于大彭成为彭姓的祖先而彭祖之子篯孚在西周都城任钱府掌管钱财的官署上士官名篯孚就以钱为姓所以彭姓与钱姓本为一家民间至今也有彭钱不分家的说法由于西周建都于镐京今陕西西安篯孚必在京为官所以钱姓也是发源于陕西一带2先秦时钱姓表现不明朗秦汉时期钱姓在江苏徐州一带静静地发展起来三国时钱姓已经遍布了江苏浙江和安徽晋朝时江西成为钱姓的另一重要的基地唐朝之前钱姓已经分布到中原和长江南北钱姓发展的鼎盛时期是在唐宋之际钱镠在临安称帝即在今浙江杭州建立了吴越国传五主割据江苏南部和浙江一带达86年钱镠的子孙分封到各地子孙很快在江浙地区繁衍不久钱姓进入了闽粤地区清初涉足台湾342013年钱姓人口约有249万排在全国第93位钱姓人口主要分布在江苏浙江上海安徽湖北云南等省市5	美元UnitedStatesdollar货币缩写USDISO4217货币代码USD符号USA是美利坚合众国萨尔瓦多共和国巴拿马共和国厄瓜多尔共和国东帝汶民主共和国马绍尔群岛共和国密克罗尼西亚联邦基里巴斯共和国和帕劳共和国的法定货币流通的美元纸币是自1929年以来发行的各版钞票1792年美国铸币法案通过后出现当前美元的发行是由美国联邦储备系统控制自1913年起美国建立联邦储备制度发行联邦储备券现行流通的钞票中99以上为联邦储备券美元的发行主管部门是国会具体发行业务由联邦储备银行负责办理在二战以后欧洲大陆国家与美国达成协议同意使用美元进行国际支付此后美元作为储备货币在美国以外的国家广泛使用并最终成为国际货币1截止2021年12月16日晚10点里拉对美元汇率已经超过156创下新低2021年以来里拉对美元贬值幅度超过503
对于判例必须分别来看在民法法系判例是非正式的法律渊源除了个别情况外理论上不承认判例具有约束力在普通法法系判例是正式的法律渊源即判例法公共政策是有关必须达到集体目的或目标的一种政治决定这种决定一般来说旨在改善经济政治或者社会的境况或旨在促进整个社会的某种集体目标的实现事物性质实际上是一种知识或人们对事物内在规律的认识1	前情汉语词语拼音是qinqng释义1先前的情况2先前的感情1
道德是一个汉语词语拼音是dod一指社会意识形态之一二指合乎道德的三指老子道德经的省称四指僧道修行的功夫法术1	重要性又称意义或重要意义人们在宣传中常常分析作品人物或事件的意义重要性这是指它们的时代价值和社会价值英文意蕴meaning翻译成现代汉语有意义意思的含义但在解释学中是指作品本身具有的含意不涉及作品在理解中延伸出来的意义即significance显然意义重要性和意蕴是两个不同的概念作品事件人物的意蕴在其内部先于理解而存在作品事件和人物的重要性则依据时代或理解者的切身利益而变化1
公司是上海人民出版社出版的图书作者是加巴肯BakanJ著1	股票是2004年科学出版社出版的图书作者是日杉村富生1
旅行是汉语词汇拼音是lxng意思指远行去外地办事或游览去外地行走不同于旅游旅行和旅游的区别就在于旅行是在观察身边的景色和事物行万里路读万卷书相对于是指个人是行走旅游是指游玩通常是团体出行在时间上是很短暂的旅游就是旅行游览活动它是一种复杂的社会现象旅行要涉及到社会的政治经济文化历史地理法律等各个社会领域旅游也是一种娱乐活动任何去外地游玩都可以算世界旅游组织指旅行的定义是某人出外最少离家55英里885千米	活动是由共同目的联合起来并完成一定社会职能的动作的总和活动由目的动机动作和共同性构成具有完整的结构系统苏联心理学家从20年代起就对活动进行了一系列研究其中列昂节夫的活动理论对苏联心理学的发展影响很大成为现代苏联心理学的重要理论基石
联邦调查局是梅尔文勒罗伊执导詹姆斯斯图尔特维拉迈尔斯主演的美国电影该片于1959年出品12	调查是一部由托比亚斯林道赫姆执导的电视剧该剧由索伦莫灵皮鲁埃斯贝克担任主演于2020年9月28日首播1
奖章拼音jingzhng是授予有功人员比赛成绩优异等的徽章	英勇yngyngheroicvaliantbravegallant汉语词汇拼音yngyng释义勇敢出众无所畏惧勇敢果断
龙虾是中国大陆上海美术电影制片厂制作的一部木偶剧动画片该动画片根据芦丹同名话剧改编而成于1958年上映	食物是1993年上映的捷克斯洛伐克电影由杨史云梅耶导演BedrichGlaserLudvkSvb主演
电话是由李聪贤执导朴智恩担任编剧全钟瑞朴信惠领衔主演的惊悚电影1影片讲述了金书妍和吴英淑这两个生活在不同时间线上的女子因为一通电话而发生关联的惊悚故事2该片于2020年11月27日在Netflix线上上映3	设备是JeremyBerg执导的恐怖片AngelaDiMarco和大卫霍根出演该片讲述了两姐妹发现一个奇怪的外星物体的故事
阵雨Showers降自积雨云中就是雨时短促开始和终止都很突然降水强度变化很大的雨有时伴有闪电和雷鸣多发生在夏季阵雨有不连续性特点范围一般不大带有雨幡且往往伴有大风出现1	洪水是由暴雨急骤融冰化雪风暴潮等自然因素引起的江河湖海水量迅速增加或水位迅猛上涨的水流现象当流域内发生暴雨或融雪产生径流时都依其远近先后汇集于河道的出口断面处当近处的径流到达时河水流量开始增加水位相应上涨这时称洪水起涨及至大部分高强度的地表径流汇集到出口断面时河水流量增至最大值称为洪峰流量其相应的最高水位称为洪峰水位到暴雨停止以后的一定时间流域地表径流及存蓄在地面表土及河网中的水量均已流出出口断面时河水流量及水位回落至原来状态洪水从起涨至峰顶到回落的整个过程连接的曲线称为洪水过程线其流出的总水量称洪水总量
足球Football英Soccer美是一项以脚为主控制和支配球两支球队按照一定规则在同一块长方形球场上互相进行进攻防守对抗的体育运动项目因足球运动对抗性强战术多变参与人数多等特点故被称为世界第一运动1现代足球的前身起源于中国古代山东淄州今淄博市的球类游戏蹴鞠后经阿拉伯人由中国传至欧洲逐渐演变发展为现代足球现代足球始于英国21848年足球运动历史上第一部文字形式的规则剑桥规则诞生1863年10月26日英格兰成立了世界上第一所足球协会并统一了足球运动的竞赛规则31872年英格兰与苏格兰之间举行了足球史上第一次协会间的正式比赛1900年在第二届夏季奥林匹克运动会中足球被列入正式项目4足球在全球被广泛译为Football只有在美国等极少数国家被译为Soccer而Football在美国加拿大被指为美式橄榄球56足球的最高组织机构为国际足球联合会成立于1904年总部设于瑞士苏黎世中国最高组织机构是中国足球协会1955年1月3日成立于北京78	篮球basketball是以手为中心的身体对抗性体育运动是奥运会核心比赛项目11891年12月21日由美国马萨诸塞州斯普林菲尔德基督教青年会训练学校体育教师詹姆士奈史密斯发明21896年篮球运动传入中国天津1904年圣路易斯奥运会上第1次进行了篮球表演赛1936年篮球在柏林奥运会中被列为正式比赛项目1中国也首次派出篮球队参加奥运会篮球项目1992年巴塞罗那奥运会开始职业选手可以参加奥运会篮球比赛12篮球的最高组织机构为国际篮球联合会于1932年成立总部设在瑞士日内瓦中国最高组织机构为中国篮球协会于1956年10月成立316
杯子是一种专门盛水的器皿其主要功能都是用来饮酒或饮茶一般容积不大或在古代喝茶的杯子被称为盖碗基本器型大多是直口或敞口口沿直径与杯高近乎相等有平底圈足或高足考古资料表明最早的杯始见于新石器时代无论是在仰韶文化龙山文化还是河姆渡文化遗址中都见有陶制杯的存在这一时期杯型最为奇特多样带耳的有单耳或双耳杯带足的多为锥形三足杯觚形杯高柄杯等等根据制作材料不同可以分为玻璃杯塑料杯陶瓷杯木杯等2	咖啡英语coffee是用经过烘焙磨粉的咖啡豆制作出来的饮料作为世界三大饮料之一其与可可茶同为流行于世界的主要饮品咖啡树是属茜草科多年生常绿灌木或小乔木日常饮用的咖啡是用咖啡豆配合各种不同的烹煮器具制作出来的而咖啡豆就是指咖啡树果实里面的果仁再用适当的方法烘焙而成一杯标准的咖啡品尝起来的味道不应该是苦涩的一名合格的咖啡师在制作咖啡时会严谨地进行每一步操作最后为客人呈上的咖啡在味觉上会呈现出不同程度的甜度酸度香醇度或是干净度
心理学是2015年浙江大学出版社出版的图书1	健康是2016年江苏大学出版社出版的图书1
tabulatearrangeincolumnsortables把制成表以表显示英文解释listlistfilesoftype以表格为容器装载着文字或图表的一种形式叫列表在互联网发展的同时还衍生了一种在以网上形式发表的列表简称网表	类别拼音是libi汉语词语意思是品类门类1
责任是一种职责和任务身处社会的个体成员必须遵守的规则和条文带有强制性它伴随着人类社会的出现而出现有社会就有责任责任感是衡量一个人精神素质的重要指标责任产生于社会关系中的相互承诺在社会的舞台上每种角色往往意味着一种责任当我们在承担一项责任的时候要付出一定的代价但也意味着获得回报的权利社会在发展责任内涵也在不断发展改革开放和现代化建设的伟大实践赋予责任日益丰富的时代内容负责任的大国负责任的政府负责任的公民中国以更加鲜明的形象呈现在世界面前	保险是一个汉语词语拼音是boxin英文是Insurance或insuraunce1本意是稳妥可靠保障后延伸成一种保障机制是用来规划人生财务的一种工具是市场经济条件下风险管理的基本手段是金融体系和社会保障体系的重要的支柱保险2是指投保人根据合同约定向保险人支付保险费保险人对于合同约定的可能发生的事故因其发生所造成的财产损失承担赔偿保险金责任或者被保险人死亡伤残疾病或者达到合同约定的年龄期限等条件时承担给付保险金责任的商业保险行为从经济角度看保险是分摊意外事故损失的一种财务安排从法律角度看保险是一种合同行为是一方同意补偿另一方损失的一种合同安排从社会角度看保险是社会经济保障制度的重要组成部分是社会生产和社会生活精巧的稳定器从风险管理角度看保险是风险管理的一种方法
日本人是2008年东方出版社出版的图书作者是李娜	美国人三部曲是上海译文出版社出版的图书作者是丹尼尔J布尔斯廷1
石油输出国组织简称欧佩克OPEC亚非拉石油生产国为协调成员国石油政策反对西方石油垄断资本的剥削和控制而建立的国际组织1960年9月成立它的宗旨是协调和统一成员国石油政策维持国际石油市场价格稳定确保石油生产国获得稳定收入最高权力机构为成员国大会由成员国代表团组成负责制定总政策执行机构为理事会日常工作由秘书处负责处理另设专门机构经济委员会以协助维持石油价格的稳定该组织自成立以来与西方石油垄断资本坚持斗争在提高石油价格和实行石油工业国有化方面取得重大进展1现有13个成员国是阿尔及利亚安哥拉刚果赤道几内亚加蓬伊朗伊拉克科威特利比亚尼日利亚沙特阿拉伯阿拉伯联合酋长国委内瑞拉2总部设在奥地利维也纳3卡塔尔于2019年1月退出石油输出国组织欧佩克42020年1月1日厄瓜多尔退出石油输出国组织52022年9月5日欧佩克和非欧佩克产油国欧佩克表示欧佩克决定再次将石油产量每天削减10万桶因此10月恢复到8月的协议条款11当地时间2022年10月5日石油输出国组织欧佩克与俄罗斯等非欧佩克产油国各方已就未来原油产量达成共识将减产200万桶日12	石油是指气态液态和固态的烃类混合物具有天然的产状石油又分为原油天然气天然气液及天然焦油等形式但习惯上仍将石油作为原油的定义用1石油是一种黏稠的深褐色液体被称为工业的血液地壳上层部分地区有石油储存主要成分是各种烷烃环烷烃芳香烃的混合物是地质勘探的主要对象之一1石油的成油机理有生物沉积变油和石化油两种学说前者较广为接受认为石油是古代海洋或湖泊中的生物经过漫长的演化形成属于生物沉积变油不可再生后者认为石油是由地壳内本身的碳生成与生物无关可再生石油主要被用来作为燃油和汽油也是许多化学工业产品如溶液化肥杀虫剂和塑料等的原料2古埃及古巴比伦人在很早以前已开采利用石油石油这个中文名称是由北宋科学家沈括第一次命名的3
比赛汉语词汇拼音bsi意思指在体育生产等活动中比较本领技术的高低	胜利汉语词汇拼音shngl意思指达到预期的目的与失败相对有成功的意思古代打仗成功称胜利比赛夺冠胜利称成功其他寓意也很广泛如一件事坚持到了最后也称胜利胜利在英语中都为victory
一年一度的体育运动比赛又要开始了你报名了三项运动分别是滑板自行车和卡丁车去争夺冠军吧	锦标本是锦制的标旗后泛指授给竞赛优胜者的奖品锦标赛ChampionshipsTournament指不同地区或竞赛大组的优胜者之间的一系列决赛之一锦标赛是排名在一定水平上的人才可以参加而且每个国家的选手数量限制比如世界羽毛球锦标赛里我们的选手排在前20的有的是而且理论上可以列为种子选手的人也应该大有人在但是由于有参赛人数的限制有些人就失去了机会如果他代表别的国家或许就是第一人锦标赛的地位和奖金积分等要比公开赛高很多因为它和奥运会的比赛一样是这个项目最高级别的个人赛事
