老虎谍战电视剧暗算中的角色由王寅饰演1	老虎谍战电视剧暗算中的角色由王寅饰演1
美元UnitedStatesdollar货币缩写USDISO4217货币代码USD符号USA是美利坚合众国萨尔瓦多共和国巴拿马共和国厄瓜多尔共和国东帝汶民主共和国马绍尔群岛共和国密克罗尼西亚联邦基里巴斯共和国和帕劳共和国的法定货币流通的美元纸币是自1929年以来发行的各版钞票1792年美国铸币法案通过后出现当前美元的发行是由美国联邦储备系统控制自1913年起美国建立联邦储备制度发行联邦储备券现行流通的钞票中99以上为联邦储备券美元的发行主管部门是国会具体发行业务由联邦储备银行负责办理在二战以后欧洲大陆国家与美国达成协议同意使用美元进行国际支付此后美元作为储备货币在美国以外的国家广泛使用并最终成为国际货币1截止2021年12月16日晚10点里拉对美元汇率已经超过156创下新低2021年以来里拉对美元贬值幅度超过503	日元日语円日语罗马音en英语Yen其纸币称为日本银行券是日本的法定货币日元也经常在美元和欧元之后被当作储备货币日元是日本的货币单位名称创设于1871年5月1日1897年日本确立金本位含金量定为075克1953年5月含金量宣布为000246853克1988年3月31日彻底废除金本位制发行中的纸币有10002000500010000日元四种1硬币有151050100500日元六种面额比较特别的是日元纸币的发行者是日本银行日本银行日本银行券日元硬币的发行者是日本政府日本国同时与人民币不同的是日元硬币不具有无限法偿能力所以原则上在一次交易中同一面值硬币法定使用上限为20枚即硬币原则上最大支付能力为1円20枚5円20枚10円20枚50円20枚100円20枚500円20枚13320円超出部分商家有权依法拒收2019年4月9日日本政府财务相麻生太郎正式宣布将在2024年度的上半年更换纸币图案推出1万日元5000日元和1000日元新纸币正面将分别使用涩泽荣一津田梅子北里柴三郎的人物肖像2
木头汉语词语之一意思是砍伐后的树木的统称木头为林业主产物对于人类生活起着很大的支持作用根据木材不同的性质特征人们将它们用于不同途径1	森林包括乔木林竹林和国家特别规定灌木林地按用途可以分为防护林特种用途林用材林经济林和能源林原薪炭林1以木本植物为主体的生物群落是集中的乔木与其它植物动物微生物和土壤之间相互依存相互制约并与环境相互影响从而形成的一个生态系统的总体它具有丰富的物种复杂的结构多种多样的功能森林被誉为地球之肺
股息Dividend即股票的利息是指股份公司从提取了公积金公益金的税后利润中按照股息率派发给股东的收益红利虽然也是公司分配给股东的回报但它与股息的区别在于股息的利率是固定的特别是对优先股而言而红利数额通常是不确定的它随着公司每年可分配盈余的多少而上下浮动因此有人把普通股的收益称为红利而股息则专指优先股的收益红利则是在上市公司分派股息之后按持股比例向股东分配的剩余利润获取股息和红利是股民投资于上市公司的基本目的也是股民的基本经济权利股息与红利合称为股利	非股权支付额是指被分立企业的股东从被分立企业直接取得的现金和非现金资产的公允价值资产收购是指一家企业以下称为受让企业购买另一家企业以下称为转让企业实质经营性资产的交易企业的资产收购行为导致了资产所有权发生转移所以企业所得税原则上要按视同销售处理但是如果资产收购中受让企业收购的资产不低于转让企业全部资产的50且受让企业在该资产收购发生时的股权支付金额不低于其交易支付总额的85就可以选择暂时不缴纳企业所得税不过非股权支付额不能享受这一规定
利润是企业家的经营成果是企业经营效果的综合反映也是其最终成果的具体体现1	亏损是盈利的对称是指企业在一定时期内发生的净损失是综合反映企业一定时期生产经营成果的重要指标亏损有政策性亏损和经营性亏损两类政策性亏损亦称计划亏损是指按照国家政策某些商品的销价低于进价或进销持平或销价略高于进价但不足以抵偿流通费用而发生的计划内亏损这种亏损需经企业主管部门会同财政部门审查同意由国家或上级单位拨款弥补经营性亏损是企业由于经营管理不善而发生的亏损对于这种亏损企业应采取切实有效的措施尽快扭亏为盈1
世纪是为中国共产党成立100周年深情献礼的大型原创交响芭蕾该舞蹈为5月23日于北京天桥剧场首演上演至5月30日1舞团试图以芭蕾这一国际艺术语汇融古汇今运用交响芭蕾的独特艺术表现形式配合恢弘壮美雄壮磅礴的交响音乐深情表现中华民族精神的当代传承讲述中国故事	年是中华民族的传统佳节她代表着团聚预示着美好由刘冰清作词王岩作曲的歌曲年在优美温馨的旋律中表达了老百姓对年的温暖情感通过歌手富有激情的演绎更传递了中国大地上年的浪漫美好画面年是回家时那暖暖的车票年是春晚的那首难忘今宵年是饭桌上的美味佳肴年是全家福里的温馨美好歌词朴实真挚旋律清新自然词曲作者将会用最接地气的音乐情怀伴您度过一个快乐幸福年歌手用最真挚的情感演绎陪您度过一个美丽中国年
摇滚RockandRoll是一种音乐类型起源于20世纪40年代末期的美国20世纪50年代早期开始流行迅速风靡全球摇滚乐以其灵活大胆的表现形式和富有激情的音乐节奏表达情感受到了全世界大多数人的喜爱并在1960年和1970年形成一股热潮	爵士舞JazzDance爵士舞是一种充满活力与创造性的个人即兴表演1是一种急促又富动感的节奏型舞蹈是属于一种外放性的舞蹈不像古典舞和芭蕾舞所表现的一种内敛性的舞蹈爵士舞蹈最初是非洲舞蹈的延伸经被贩卖作为奴隶的黑人群体带到美国本土而在美国逐渐演进形成本土化大众化的舞蹈爵士舞主要是追求愉快活泼有生气的一种舞蹈它的特征是可自由自在的跳不必像传统式的古典芭蕾必须局限于一种形式与遵守固有的姿态随着美国流行文化的发展伴随着芭蕾舞普及和百老汇文化的推广特别是街舞文化体系的出现爵士舞已经和以往的马甲西裤皮鞋手杖的表演形式完全不同在博采众家之长之后慢慢发展出属于自己的独特风格早已不再是自由即兴的表演格式在20世纪末期的流行音乐及舞蹈MV的发展大潮中流行天王迈克尔杰克逊为杰出代表为了适应现代表演的需要之前那种完全自由化的风格已经慢慢被各种风格的规律和要求所限制变成一种自由与规律并存的风格与爵士乐的关系爵士舞与爵士乐并无关联爵士舞所用的音乐大多为流行乐或电子舞曲并非爵士乐
通知是运用广泛的知照性公文用来发布法规规章转发上级机关同级机关和不相隶属机关的公文批转下级机关的公文要求下级机关办理某项事务等通知一般由标题主送单位受文对象正文落款四部分组成	新闻1也叫消息资讯是通过报纸电台广播电视台等媒体途径所传播信息的2一种称谓是记录社会传播信息反映时代的一种文体新闻概念有广义与狭义之分就其广义而言除了发表于报刊广播互联网电视上的评论与专文外的常用文本都属于新闻之列包括消息通讯特写速写有的将速写纳入特写之列等等3狭义的新闻则专指消息消息是用概括的叙述方式比较简明扼要的文字迅速及时地报道国内外新近发生的有价值的事实让别人了解每则新闻一般包括标题电头导语主体背景和结语六部分前四者是主要部分后二者是辅助部分标题导语主体必不可少写法上主要是叙述有时兼有议论描写评论等新闻是包含海量资讯的新闻服务平台真实反映每时每刻的重要事件可以通过查看新闻事件热点话题人物动态产品资讯等快速了解它们的最新进展4
食物是2019年浙江教育出版社出版的图书	水果是2019年陕西人民教育出版社出版的图书1
马拉松Marathon长跑是国际上非常普及的长跑比赛项目全程距离26英里385码折合为42195公里也有说法为42193公里分全程马拉松FullMarathon半程马拉松HalfMarathon和四分马拉松QuarterMarathon三种以全程马拉松比赛最为普及一般提及马拉松即指全程马拉松2022年9月25日在第48届柏林马拉松上肯尼亚名将埃鲁德基普乔格以2小时01分09秒完赛超越了此前由他本人保持的2小时01分39秒的世界纪录20	短跑是田径竞赛项目的其中一类一般包括50米跑60米跑100米跑200米跑400米跑4100米接力跑等几项其运动特性人们同时以最快的速度在田径跑道上跑完规定的距离并以最先跑完者为获胜者的项目在人体机能供能方面短跑表现为人体以最大限度地发挥人的速度极限本能并以无氧代谢供能的方式供能
墨西哥合众国西班牙语EstadosUnidosMexicanos英语UnitedMexicanStates简称墨西哥领土面积19644万平方公里是拉丁美洲第三大国位居世界第十四位位于北美洲南部拉丁美洲西北端墨西哥全国总人口128亿2020年印欧混血人和印第安人占总人口的90以上全国划分为32个州首都墨西哥城已由联邦区改为州州下设市镇和村首都为墨西哥城CiudaddeMxico1墨西哥是美洲大陆印第安人古文化中心之一1521年沦为西班牙殖民地11821年墨西哥独立战争后建立墨西哥第一帝国1823年被军事政变推翻1824年建立墨西哥合众国1848年美墨战争后被迫将位于北部的近三分之一领土割让给美国11863年在法国的扶持下建立墨西哥第二帝国1910年爆发墨西哥革命推翻了独裁统治最终促成了1917年宪法的制定和现行政治体制的建立1墨西哥是拉美经济大国美墨加协定原北美自由贸易区成员世界最开放的经济体之一同50个国家签署了自贸协定据统计2020年国内生产总值104万亿美元同比下降9人均国内生产总值8400美元通胀率34失业率382020年12月底外汇储备19567亿美元1	巴西联邦共和国葡萄牙语RepblicaFederativadoBrasil英语TheFederativeRepublicofBrazil简称巴西Brazil1国土总面积85149万平方公里是南美洲最大的国家1居世界第五2总人口21亿2020年与乌拉圭阿根廷巴拉圭玻利维亚秘鲁哥伦比亚委内瑞拉圭亚那苏里南法属圭亚那十国接壤全国共分为26个州和1个联邦区1巴西原为印第安人居住地1500年4月22日葡萄牙航海家佩德罗阿尔瓦雷斯卡布拉尔抵达巴西16世纪30年代沦为葡萄牙殖民地11808年拿破仑入侵葡萄牙葡王室流亡巴西拿破仑战败后葡王室重回里斯本王子佩德罗则留在巴西担任摄政11822年9月7日佩德罗王子宣布巴西脱离葡萄牙独立称佩德罗一世建立巴西帝国1889年11月15日丰塞卡将军发动政变推翻帝制成立巴西合众国1964年3月31日军人执政实行独裁统治1967年改为现国名1985年1月军政府下台1989年首次以全民直接选举方式举行大选1巴西是里约集团南方共同市场南美进步论坛和20国集团成员国与阿根廷和智利并称为ABC国家1巴西是金砖国家之一拥有丰富的自然资源和完整的工业基础国内生产总值位居南美洲第一为世界第七大经济体3足球是巴西人文化生活的主流运动因此巴西享有足球王国的美誉1
媒体media一词来源于拉丁语Medius意为两者之间媒体是传播信息的媒介它是指人借助用来传递信息与获取信息的工具渠道载体中介物或技术手段也指传送文字声音等信息的工具和手段也可以把媒体看作为实现信息从信息源传递到受信者的一切技术手段媒体有两层含义一是承载信息的物体二是指储存呈现处理传递信息的实体媒是女字旁诗卫风氓中有匪我愆期子无良媒古语又讲天上无云不下雨地上无媒不成婚可见很早之前媒主要是在男女婚嫁中起传情达意的中介作用1	广播是指通过无线电波或导线传送声音的新闻传播工具通过无线电波传送节目的称无线广播通过导线传送节目的称有线广播广播的优势是对象广泛传播迅速功能多样感染力强劣势是一瞬即逝顺序收听不能选择语言不通则收听困难
美洲豹学名PantheraoncaLinnaeus1758又叫美洲虎是现存第三大的猫科动物体重35150千克最大亚种雄性亚马孙美洲豹平均体重为98千克咬力可达1250磅是生活在中南美洲的一种大型猫科动物它身上的花纹比较像豹但整个身体的形状又更接近于虎在猫科动物中美洲豹的体型仅次于狮虎野外寿命约18年人工饲养的历史达20多年列入世界自然保护联盟濒危物种红色名录IUCN2021年近危NT	猫属于猫科动物是全世界家庭中较为广泛的宠物家猫的祖先据推测是古埃及时期的沙漠猫波斯的波斯猫已经被人类驯化了3500年但未像狗一样完全地被驯化一般的猫头圆颜面部短前肢五指后肢四趾趾端具锐利而弯曲的爪爪能伸缩具有夜视性以伏击的方式猎捕其它动物大多能攀援上树猫的趾底有脂肪质肉垫以免在行走时发出声响捕猎时也不会惊跑鼠行进时爪子处于收缩状态防止爪被磨钝在捕鼠和攀岩时会伸出来
鸟汉语常用字1读作nio或者dio最早见于甲骨文2其本义为长尾飞禽后引申为能飞的昆虫地名等3基本信息栏参考资料4	鹤汉字一级字1读作h形声字最早见于说文小篆2其本义是鹤科各种类鸟的统称皆为大型涉禽全身白色或灰色生活在水边吃鱼昆虫或植物信息栏使用参考资料2
老虎是2021年安徽少年儿童出版社出版的图书作者是伊拉古坚科1	猫是2019年石油工业出版社出版的图书作者是尼古拉1
物理学physics是研究物质最一般的运动规律和物质基本结构的学科作为自然科学的带头学科物理学研究大至宇宙小至基本粒子等一切物质最基本的运动形式和规律因此成为其他各自然科学学科的研究基础物理学起始于伽利略和牛顿的年代它已经成为一门有众多分支的基础科学物理学是一门实验科学也是一门崇尚理性重视逻辑推理的科学物理学充分用数学作为自己的工作语言它是当今最精密的一门自然科学学科1	化学chemistry是在原子分子水平上研究物质的组成结构性质转化及其应用的基础自然科学它源自生活和生产实践并随着人类社会的进步而不断发展7不同于研究尺度更小的粒子物理学与核物理学化学研究的原子分子离子团的物质结构和化学键分子间作用力等相互作用其所在的尺度是微观世界中最接近宏观的因而它们的自然规律也与人类生存的宏观世界中物质和材料的物理化学性质最为息息相关作为沟通微观与宏观物质世界的重要桥梁化学则是人类认识和改造物质世界的主要方法和手段之一
美洲虎JAGUAR是英国轿车的一种名牌产品	轿车是绝地求生中的载具
博物馆是一首由苏打绿演唱的歌曲收录在专辑冬未了中	剧院是任大卫的一首诗歌收录于诗集火车和其他
手机是由托德威廉姆斯TodWilliams执导的约翰库萨克JohnCusack塞缪尔杰克逊SamuelLJackson伊莎贝拉弗尔曼IsabelleFuhrman等实力明星主演的电影原著作者斯蒂芬金与亚当艾莱卡AdamAlleca共同负责剧本的改写1	设备是JeremyBerg执导的恐怖片AngelaDiMarco和大卫霍根出演该片讲述了两姐妹发现一个奇怪的外星物体的故事
鸟是现代叶永青创作的一幅油彩画	雄鸡是李斛20世纪60年代创作的纸本水墨设色中国画1
虎学名Pantheratigris俗称老虎是哺乳纲大型猫科动物是亚洲的特有种类原产地主要是东北亚和东南亚虎是种高度进化的猎食动物也是自然界生态中不可或缺的一环成年虎的身长可达225米尾长1米重达90220公斤在它庞大的体型与有力肌肉之外它们最显著的特征就是在白色或橘红色的毛皮上有黑色垂直的条纹它们下半部的颜色较淡凶猛至极力量极大有森林之王百兽之王之称古称南山白额王出处宋苏辙湖阴曲老虎穴中卧猎夫不敢窥元王恽赵邈龊虎图行耽耽老虎底许来抱石踞坐何雄哉	主要以肉类食物为主的一类动物英文名称carnivore肉食类动物亦称Meateater四肢强劲灵活性非常强牙齿尖锐而有力具食肉齿裂齿即上颌最后1枚前臼齿和下颌最前1枚臼齿上裂齿两个大齿尖和下裂齿外侧的两个大齿尖在咬合时像尖锐的刺刀可将韧带软骨切断大齿异常粗大长而尖颇锋利起刺穿作用野外攻击性强速度快
医生钻研学习医学科学技术挽救生命以治病为业的人一般指临床医师按照卫生部卫健委医政部有关医疗卫生管理条例的法律法规主持医患沟通学术讨论新技术推广预后分析公众教育护理示教康复培训出院教育执行卫生防疫计生大病早期识别干预等法律政治责任承担部分课题研究等工作预防出生缺陷提高人口素质治病救人履行病情如实告知合理检查合理开药正确诊断积极治疗的责任提高医生职业风险和医疗事故安全法律意识避免误诊漏诊控制医源性继发损害纠正违章作业等法律责任通过定期临床理论考试技能考核培训能够熟练掌握临床必要的医学技能和必要的医学理论如影像学解剖学病理学医学遗传学药物化学康复医学生育保健学临床法医学等取得执业资格不得夸大病情吓唬病人延误时机造成事故要按照行业规范开展诊疗活动医生古代称大夫或郎中新中国成立后我国涌现了大量赤脚医生一度达到150多万名现在大夫一词在北方人中也常用在欧美医生普遍被称为Physician只有外科医生被称呼为Surgeon外科医生的法语称呼为DecinMedusan德语是Arztarutsuto但在英联邦英国外科医生今天还以密司脱称呼	护士被称为白衣天使1914年钟茂芳在第一次中华护士会议中提出将英文Nurse译为护士大会通过工作时必须脱下便服穿护士服护士必须按照卫健委相关法律条文标准和护理行业规范执行开展相应的护理项目观察病人体表体重情况了解病人病情配合医生治疗及时处理医疗纠纷防止医疗事故发生并从生理心理社会文化和精神诸方面日常活动用药和安全等问题从事与医疗有关的全项临床操作或单项专项护理活动如机械排痰穿刺输液入院宣教出院指导执行医嘱铺床换被安全提示取药配药摆药病情速记资料入卷采集标本责任交接观察病情医疗废物毁形消毒医疗垃圾管理分类收集建议学习培训送标送检引导病员夜间查房设备点检设备保洁整理内务5s实施出院核算整理病历宣贯医嘱护理示教抢救急救按时巡查异常报告物品发放电脑登记维修维护测量体温技能考核病员分类驱除四害病员点评等必要的日常护理活动经执业注册取得护士执业证书依照本条例规定从事护理活动履行保护人类生命减轻病员痛苦增进健康职责的卫生技术人员2020年8月1日起护士可依照权限通过机构端个人端进行信息维护符合生成条件后予以制发电子证照1截至2021年底中国500多万护士中男性护士比例占3这比2012年的18提高了不少每千人口的注册护士数量也从2012年的185人增加到2021年的356人6
虎学名Pantheratigris俗称老虎是哺乳纲大型猫科动物是亚洲的特有种类原产地主要是东北亚和东南亚虎是种高度进化的猎食动物也是自然界生态中不可或缺的一环成年虎的身长可达225米尾长1米重达90220公斤在它庞大的体型与有力肌肉之外它们最显著的特征就是在白色或橘红色的毛皮上有黑色垂直的条纹它们下半部的颜色较淡凶猛至极力量极大有森林之王百兽之王之称古称南山白额王出处宋苏辙湖阴曲老虎穴中卧猎夫不敢窥元王恽赵邈龊虎图行耽耽老虎底许来抱石踞坐何雄哉	动物Animal是生物的一个种类它们一般以有机物为食能感觉可运动能够自主运动或能够活动之物包括人根据化石研究地球上最早出现的动物源于海洋早期的海洋动物经过漫长的地质时期逐渐演化出各种分支丰富了早期的地球生命形态在人类出现以前史前动物便已出现并在各自的活动期得到繁荣发展后来它们在不断变换的生存环境下相继灭绝但是地球上的动物仍以从低等到高等从简单到复杂的趋势不断进化并繁衍并有了如今的多样性科学家们把现存的人类已知的动物根据体内有无脊柱分为无脊椎动物和脊椎动物两大种类科学家已经鉴别出46900多种脊椎动物包括鲨鱼鳐鱼等软骨鱼类动物鲤鱼黄鱼草鱼等硬骨鱼类动物青蛙娃娃鱼等两栖类动物蛇蜥蜴等爬行类动物鸡鸽子麻雀等鸟类动物以及猴子红熊猫等哺乳类动物科学家们还发现了130多万种无脊椎动物这些动物中多数是昆虫昆虫中多数是甲虫海绵蚯蚓乌贼牡蛎红海星水母蜘蛛珊瑚虫放射虫蛔虫猪肉绦虫沙蚕蜗牛蛞蝓等都属于无脊椎动物动物界所有成员的身体都是由细胞组成的异养有机体
街道为街与道的合称指城镇中的道路而且此类道路两边有连续不断的房屋建筑汉语意境中人口稠密区中有建筑连片区的道路尽管多被冠以街道路马路大道不论其主要功能是什么都可以被认为是街道对于具有良好基础设施与娱乐休闲功能的道路即使两边没有连片建筑设施也被认为是街道但对以车辆通行为主的普通公路和高速公路等很少人会当作街道在规划学领域街道也被看做建筑围合中的一个负空间	街区是城市规划城市设计中的一个重要因素人们通常提到的街区为城市街区在西方国家中例如美国1人口普查的最小颗粒度也是街区每一项人口普查内容都可以按照街区来进行统计因此在人口统计学中街区可以被称为人口统计街区在我国部分城市大型房地产项目被划分成若干街区乃是一个地产品牌一期二期分建而来在地产项目中通常是一个商业概念在城市中街区通常是被道路所包围的区域是城市结构的基本组成单位然而在郊区以及乡镇中道路并不会像城市那么密集因此人口统计街区就还会借助其他一些自然特征或人文特征来进行街区的划分与分割例如行政边界河流湖泊铁路山脉悬崖等对于世界中的绝大多数城市来说城市都是出于规划下而发展的道路通畅纵横交错因此街区的形状通常也是类正方形或长方形
歌剧Opera是用声乐和器乐表现剧情的戏剧作品是音乐与诗歌戏剧表演舞蹈舞台美术服装等结合为一体的综合性艺术体裁12歌剧的结构通常包括序曲间奏曲合唱重唱独唱等歌剧中主角的独唱又分为咏叹调宣叙调还有小咏叹调咏叙调卡伐蒂娜浪漫曲与小夜曲等1	表演著作权法术语指演奏乐曲上演剧本朗诵诗词等直接或者借助技术设备以声音表情动作公开再现的作品
喝武林群侠传侠客风云传中人物	吃是河洛工作室作品武林群侠传侠客风云传中的人物
虎学名Pantheratigris俗称老虎是哺乳纲大型猫科动物是亚洲的特有种类原产地主要是东北亚和东南亚虎是种高度进化的猎食动物也是自然界生态中不可或缺的一环成年虎的身长可达225米尾长1米重达90220公斤在它庞大的体型与有力肌肉之外它们最显著的特征就是在白色或橘红色的毛皮上有黑色垂直的条纹它们下半部的颜色较淡凶猛至极力量极大有森林之王百兽之王之称古称南山白额王出处宋苏辙湖阴曲老虎穴中卧猎夫不敢窥元王恽赵邈龊虎图行耽耽老虎底许来抱石踞坐何雄哉	哺乳动物是动物世界中形态结构最高等生理机能最完善的动物与其他动物相比哺乳动物最突出的特征在于胎生以及其幼崽由母体分泌的乳汁喂养长大哺乳动物大都长有皮毛以保持体温的恒定适应各种复杂的生存环境哺乳动物具有比较发达的大脑因而能产生比其他动物更为复杂的行为并能不断地改变自己的行为以适应外界环境的变化世界上现存的哺乳动物有4000多种虽然它们都已经高度进化但仍具有很多共性几乎所有的哺乳动物都是温血动物体温基本恒定身上披有毛发以保护身体隔绝冷热等等
杯子是一种专门盛水的器皿其主要功能都是用来饮酒或饮茶一般容积不大或在古代喝茶的杯子被称为盖碗基本器型大多是直口或敞口口沿直径与杯高近乎相等有平底圈足或高足考古资料表明最早的杯始见于新石器时代无论是在仰韶文化龙山文化还是河姆渡文化遗址中都见有陶制杯的存在这一时期杯型最为奇特多样带耳的有单耳或双耳杯带足的多为锥形三足杯觚形杯高柄杯等等根据制作材料不同可以分为玻璃杯塑料杯陶瓷杯木杯等2	餐具指用餐时直接接触食物的非可食性工具用于辅助食物分发或摄取食物的器皿和用具市场上还出现了许多一次性的餐具这种餐具对环境不好也有一些可降解材料制作的餐具餐具包括成套的有金属器具陶瓷餐具茶具酒器玻璃器皿纸制器具塑料器具以及五花八门用途各异的各种容器类工具如碗碟杯壶等和手持用具如筷刀叉勺吸管签棒等及等用具
学生也叫学子一般指正在学校学堂或其他学习地方受教育的人而在研究机构或工作单位如医院研究所学习的人也称学生根据学习的不同阶段我们可以把学生分为幼儿园学生小学生中学生高等院校学生大学生硕士研究生博士研究生等等学生是一种身份的名词具有学籍的人都统称学生	教授是一种高等教育体系中的职称多指在大学或社区学院中执教的资深教师与研究员但教授与研究员是有区别的教授有教课的任务而研究员则没有教授为大学教师职称的最高级别中文的教授两字则源于传教授业的字义是中国古代就使用的学官名称在中国汉代唐代的大学中都设此职位这个词语与英文没有关联日语中则与中文同用教授来称呼大学中的老师
足球Football英Soccer美是一项以脚为主控制和支配球两支球队按照一定规则在同一块长方形球场上互相进行进攻防守对抗的体育运动项目因足球运动对抗性强战术多变参与人数多等特点故被称为世界第一运动1现代足球的前身起源于中国古代山东淄州今淄博市的球类游戏蹴鞠后经阿拉伯人由中国传至欧洲逐渐演变发展为现代足球现代足球始于英国21848年足球运动历史上第一部文字形式的规则剑桥规则诞生1863年10月26日英格兰成立了世界上第一所足球协会并统一了足球运动的竞赛规则31872年英格兰与苏格兰之间举行了足球史上第一次协会间的正式比赛1900年在第二届夏季奥林匹克运动会中足球被列入正式项目4足球在全球被广泛译为Football只有在美国等极少数国家被译为Soccer而Football在美国加拿大被指为美式橄榄球56足球的最高组织机构为国际足球联合会成立于1904年总部设于瑞士苏黎世中国最高组织机构是中国足球协会1955年1月3日成立于北京78	篮球basketball是以手为中心的身体对抗性体育运动是奥运会核心比赛项目11891年12月21日由美国马萨诸塞州斯普林菲尔德基督教青年会训练学校体育教师詹姆士奈史密斯发明21896年篮球运动传入中国天津1904年圣路易斯奥运会上第1次进行了篮球表演赛1936年篮球在柏林奥运会中被列为正式比赛项目1中国也首次派出篮球队参加奥运会篮球项目1992年巴塞罗那奥运会开始职业选手可以参加奥运会篮球比赛12篮球的最高组织机构为国际篮球联合会于1932年成立总部设在瑞士日内瓦中国最高组织机构为中国篮球协会于1956年10月成立316
电视是中国传媒大学出版社出版的图书作者是南野	广播是1973年科学出版社出版的图书作者是刘寿听
心理学是1993年科学出版社出版的图书	科学是2008年科学普及出版社出版的图书1
基督教文化是2020年中国社会科学出版社出版的图书作者是卓新平12	犹太教是中国社会科学出版社出版的图书作者是黄陵渝著1
足球Football英Soccer美是一项以脚为主控制和支配球两支球队按照一定规则在同一块长方形球场上互相进行进攻防守对抗的体育运动项目因足球运动对抗性强战术多变参与人数多等特点故被称为世界第一运动1现代足球的前身起源于中国古代山东淄州今淄博市的球类游戏蹴鞠后经阿拉伯人由中国传至欧洲逐渐演变发展为现代足球现代足球始于英国21848年足球运动历史上第一部文字形式的规则剑桥规则诞生1863年10月26日英格兰成立了世界上第一所足球协会并统一了足球运动的竞赛规则31872年英格兰与苏格兰之间举行了足球史上第一次协会间的正式比赛1900年在第二届夏季奥林匹克运动会中足球被列入正式项目4足球在全球被广泛译为Football只有在美国等极少数国家被译为Soccer而Football在美国加拿大被指为美式橄榄球56足球的最高组织机构为国际足球联合会成立于1904年总部设于瑞士苏黎世中国最高组织机构是中国足球协会1955年1月3日成立于北京78	网球Tennis是球类运动项目之一有效网球运动场地是一个长方形长为2377米单打场地宽为823米双打场地宽为1097米中间隔有网比赛双方各占球场的一方球员用网球拍击球1网球运动孕育在法国诞生在英国普及和形成的高潮在美国其最早起源于1213世纪的法国1896年在雅典举行的第一届现代奥运会上网球的男子单打与双打被列为正式比赛后来由于国际奥委会和国际网球联合会在业余运动员问题上有分歧已经连续进行了7届的奥运会网球比赛项目被取消直到1984年的洛杉矶奥运会上网球才被列为奥运项目1988年在汉城奥运会上网球重新被列为正式比赛项目2网球最高级的组织机构为国际网球联合会1913年在法国巴黎成立中国的最高级组织机构为中国网球协会1953年在北京成立
教授是一个汉语词语读音为jioshu现解释是高等教育机构的教师的最高级学衔古时设置在地方官学中的学官对私塾老师的敬称讲解传授知识技能	博士古为官名秦汉时是掌管书籍文典通晓史事的官职后成为学术上专通一经或精通一艺从事教授生徒的官职如明代初期朱允炆曾封方孝孺为文学博士等1
日本人是2008年东方出版社出版的图书作者是李娜	美国人三部曲是上海译文出版社出版的图书作者是丹尼尔J布尔斯廷1
街道汉语词汇拼音jido释义供人车通行的道路	地方汉语词语拼音是dfngdfang一指地面的某一个特定地区一个特定的所在地点二指一个特定的地点三指各行政区四指部分五指地保的俗称1
火车英文Train1又称铁路列车绿皮车是指在铁路轨道上行驶的车辆通常由多节车厢所组成为人类的现代重要交通工具之一截至2021年时国内分普速车和动车组两种人类历史上最重要的机具早期称为蒸汽机车有独立的轨道行驶铁路列车按载荷物可分为运货的货车和载客的客车亦有两者一起的客货混运车但会产生大量二氧化碳污染环境火车是人类利用化石能源运输的典例1804年由英国的矿山技师德里维斯克利用瓦特的蒸汽机造出了世界上第一台蒸汽机车时速为5至6公里因为当时使用煤炭或木柴做燃料所以人们都叫它火车于是一直沿用1840年2月22日由康瓦耳的工程师查理礠里维西克所设计了世界上第一列真正在轨上行驶的火车1879年德国西门子电气公司研制了第一台电力机车2随着火车的普及改变了人们骑马或以其他牲畜为主要动力的出行方式中国早期的火车车厢是绿色的因此叫绿皮火车早期的传统火车列车是由一至三节机车牵引若干车厢或车皮组成现代的新型火车已经出现了多节车厢自带动力的动车组列车在上海已有了从龙阳路地铁站至上海浦东国际机场的磁悬浮列车线路	轿车salooncar是指用于载送人员及其随身物品且座位布置在两轴之间的汽车包括驾驶者在内座位数最多不超过九个一般轿车强调的是舒适性以乘员为中心而且是从经济性考虑出发选择马力适中排量小耗油量小的发动机在中国内地的行驶证管理方面轿车特指区别于货车皮卡SUV大巴中巴的小型汽车俗称为小轿车在香港轿车又称私家车
阵雨是清代诗人弘历创作的一首诗	雷雨是清代诗人弘历创作的一首诗
皮肤是福茂唱片发行于2013年10月的一首国语流行歌曲由陈势安演唱所属专辑为非你不可	眼睛是由歌手张敬轩作词作曲并演唱的一首歌曲收录在张敬轩2004年11月1日发行的专辑AmPm中12
面包也写作麺包一种用五谷一般是麦类磨粉制作并加热而制成的食品以小麦粉为主要原料以酵母鸡蛋油脂糖盐等为辅料加水调制成面团经过分割成形醒发焙烤冷却等过程加工而成的焙烤食品	黄油Butter是用牛奶加工出来的一种固态油脂是把新鲜牛奶加以搅拌之后上层的浓稠状物体滤去部分水分之后的产物主要用作调味品营养丰富但含脂量很高所以不要过分食用公元前5世纪匈奴人就已经因为以牧业为主奶制品各种制作技术成熟并传播国内外外国人称为黄油就是中国人称为奶油的奶中炼制食用油品匈奴人是世界上最早加工食用黄油的民族
